OriginCityName,DestCityName,c
"Dallas/Fort Worth TX","Gunnison CO",28
"Denver CO","Newport News/Williamsburg VA",28
"Detroit MI","Jacksonville FL",28
"Fort Lauderdale FL","Memphis TN",28
"Gunnison CO","Dallas/Fort Worth TX",28
"Jacksonville FL","Detroit MI",28
"Kansas City MO","Albuquerque NM",28
"Long Beach CA","Washington DC",28
"Manchester NH","Atlanta GA",28
"Memphis TN","Fort Lauderdale FL",28
"Milwaukee WI","San Francisco CA",28
"Milwaukee WI","Seattle WA",28
"Newport News/Williamsburg VA","Denver CO",28
"Oakland CA","Austin TX",28
"Richmond VA","Minneapolis MN",28
"San Antonio TX","Tampa FL",28
"San Francisco CA","Milwaukee WI",28
"San Francisco CA","Oklahoma City OK",28
"San Jose CA","Minneapolis MN",28
"Seattle WA","Milwaukee WI",28
"Tampa FL","Austin TX",28
"Tampa FL","San Antonio TX",28
"Washington DC","Long Beach CA",28
"Cleveland OH","Madison WI",29
"Cleveland OH","Raleigh/Durham NC",29
"Cleveland OH","Rochester NY",29
"Dayton OH","Washington DC",29
"Jacksonville FL","Norfolk VA",29
"Madison WI","Cleveland OH",29
"Minneapolis MN","Richmond VA",29
"Minneapolis MN","Sacramento CA",29
"Missoula MT","Minneapolis MN",29
"Norfolk VA","Jacksonville FL",29
"Providence RI","Newark NJ",29
"Sacramento CA","Minneapolis MN",29
"Albuquerque NM","Seattle WA",30
"Anchorage AK","Cordova AK",30
"Austin TX","Seattle WA",30
"Baltimore MD","Panama City FL",30
"Bangor ME","Detroit MI",30
"Boise ID","Chicago IL",30
"Cordova AK","Anchorage AK",30
"Cordova AK","Yakutat AK",30
"Juneau AK","Yakutat AK",30
"Minneapolis MN","Missoula MT",30
"Newark NJ","Providence RI",30
"Panama City FL","Baltimore MD",30
"Pensacola FL","Washington DC",30
"Philadelphia PA","Newark NJ",30
"Rochester NY","Orlando FL",30
"Seattle WA","Albuquerque NM",30
"Seattle WA","Austin TX",30
"Tulsa OK","Washington DC",30
"Washington DC","Philadelphia PA",30
"Yakutat AK","Cordova AK",30
"Yakutat AK","Juneau AK",30
"Aguadilla PR","Newark NJ",31
"Akron OH","Boston MA",31
"Akron OH","Tampa FL",31
"Albany NY","Fort Lauderdale FL",31
"Albany NY","Tampa FL",31
"Albuquerque NM","Baltimore MD",31
"Albuquerque NM","Washington DC",31
"Allentown/Bethlehem/Easton PA","Charlotte NC",31
"Alpena MI","Minneapolis MN",31
"Amarillo TX","Las Vegas NV",31
"Anchorage AK","Denver CO",31
"Anchorage AK","Honolulu HI",31
"Anchorage AK","Nome AK",31
"Aspen CO","Dallas/Fort Worth TX",31
"Atlanta GA","Branson MO",31
"Atlanta GA","Colorado Springs CO",31
"Atlanta GA","Eagle CO",31
"Atlanta GA","Honolulu HI",31
"Atlanta GA","Scranton/Wilkes-Barre PA",31
"Austin TX","Harlingen/San Benito TX",31
"Austin TX","Long Beach CA",31
"Austin TX","Philadelphia PA",31
"Baltimore MD","Albuquerque NM",31
"Baltimore MD","Jackson/Vicksburg MS",31
"Baltimore MD","Little Rock AR",31
"Baltimore MD","Oklahoma City OK",31
"Baltimore MD","San Francisco CA",31
"Barrow AK","Fairbanks AK",31
"Bellingham WA","Honolulu HI",31
"Bellingham WA","Las Vegas NV",31
