a,b,c
"Rochester MN","Chicago IL",62
"Rochester NY","Charlotte NC",62
"Rock Springs WY","Gillette WY",62
"Sacramento CA","Honolulu HI",62
"Sacramento CA","Kahului HI",62
"Salt Lake City UT","Cody WY",62
"Salt Lake City UT","Fargo ND",62
"Salt Lake City UT","Honolulu HI",62
"Salt Lake City UT","Indianapolis IN",62
"Salt Lake City UT","Nashville TN",62
"Salt Lake City UT","New Orleans LA",62
"San Antonio TX","Harlingen/San Benito TX",62
"San Antonio TX","Orlando FL",62
"San Antonio TX","Philadelphia PA",62
"San Diego CA","El Paso TX",62
"San Diego CA","Kahului HI",62
"San Diego CA","Kansas City MO",62
"San Diego CA","Mammoth Lakes CA",62
"San Diego CA","Nashville TN",62
"San Francisco CA","Baltimore MD",62
"San Francisco CA","Colorado Springs CO",62
"San Francisco CA","Klamath Falls OR",62
"San Francisco CA","North Bend/Coos Bay OR",62
"San Francisco CA","Pasco/Kennewick/Richland WA",62
"San Francisco CA","Raleigh/Durham NC",62
"San Jose CA","Kona HI",62
"San Jose CA","Lihue HI",62
"San Juan PR","Christiansted VI",62
"San Juan PR","Hartford CT",62
"San Juan PR","Jacksonville FL",62
"Sarasota/Bradenton FL","Boston MA",62
"Sarasota/Bradenton FL","Chicago IL",62
"Scranton/Wilkes-Barre PA","Atlanta GA",62
"Seattle WA","Fort Lauderdale FL",62
"Seattle WA","Fresno CA",62
"Seattle WA","Miami FL",62
"Seattle WA","Reno NV",62
"Seattle WA","San Antonio TX",62
"Seattle WA","Santa Barbara CA",62
"Shreveport LA","Denver CO",62
"Sitka AK","Ketchikan AK",62
"St. Louis MO","Birmingham AL",62
"St. Louis MO","Fort Lauderdale FL",62
"St. Louis MO","Raleigh/Durham NC",62
"Tallahassee FL","Dallas/Fort Worth TX",62
"Tampa FL","Akron OH",62
"Tampa FL","Albany NY",62
"Tampa FL","Dayton OH",62
"Tampa FL","Kansas City MO",62
"Tampa FL","Key West FL",62
"Tampa FL","Las Vegas NV",62
"Tampa FL","Louisville KY",62
"Tampa FL","Manchester NH",62
"Tampa FL","Norfolk VA",62
"Tampa FL","Rochester NY",62
"Tucson AZ","Seattle WA",62
"Tulsa OK","Las Vegas NV",62
"Washington DC","Albuquerque NM",62
"Washington DC","Colorado Springs CO",62
"Washington DC","Louisville KY",62
"Washington DC","Manchester NH",62
"West Palm Beach/Palm Beach FL","Cleveland OH",62
"West Palm Beach/Palm Beach FL","Hartford CT",62
"West Palm Beach/Palm Beach FL","San Juan PR",62
"White Plains NY","Tampa FL",62
"Wrangell AK","Ketchikan AK",62
"Wrangell AK","Petersburg AK",62
"Houston TX","Cedar Rapids/Iowa City IA",63
"Lexington KY","Houston TX",63
"New Orleans LA","Detroit MI",63
"Newark NJ","Columbus OH",63
"Salt Lake City UT","Gillette WY",63
"Salt Lake City UT","Newark NJ",63
"Detroit MI","Columbus OH",64
"Kansas City MO","Fort Lauderdale FL",64
"Lubbock TX","Las Vegas NV",64
"Salt Lake City UT","Philadelphia PA",64
"Salt Lake City UT","Rapid City SD",64
"Tampa FL","Cincinnati OH",64
"White Plains NY","Fort Myers FL",64
"Manchester NH","Cleveland OH",65
"New Orleans LA","Minneapolis MN",65
"Phoenix AZ","Cleveland OH",65
"Portland OR","Newark NJ",65
"San Francisco CA","Albuquerque NM",65
"Savannah GA","Newark NJ",65
"Tulsa OK","Minneapolis MN",65
"Fort Lauderdale FL","Cincinnati OH",66
"Medford OR","Denver CO",66
"Minneapolis MN","Flint MI",66
"Newark NJ","New Orleans LA",66
"Salt Lake City UT","Boston MA",66
"San Juan PR","Houston TX",66
"Savannah GA","Houston TX",66
"Spokane WA","San Francisco CA",66
"Washington DC","Portland ME",66
"Raleigh/Durham NC","Indianapolis IN",67
"San Francisco CA","Cleveland OH",67
"Fort Myers FL","Cincinnati OH",68
"Kalispell MT","Denver CO",68
"Los Angeles CA","Boise ID",68
"Lubbock TX","Austin TX",68
"Minneapolis MN","Iron Mountain/Kingsfd MI",68
"Orlando FL","Louisville KY",68
"Phoenix AZ","Kona HI",68
"St. Louis MO","Little Rock AR",68
"Washington DC","San Antonio TX",68
"Washington DC","Greer SC",69
"New York NY","Charlotte Amalie VI",70
"Newark NJ","Charlotte Amalie VI",70
"Palm Springs CA","Chicago IL",70
"Tucson AZ","San Francisco CA",70
"Helena MT","Denver CO",72
"Indianapolis IN","Fort Lauderdale FL",72
"Las Vegas NV","Columbus OH",72
"Midland/Odessa TX","Las Vegas NV",72
"New Orleans LA","Las Vegas NV",72
"Orlando FL","Las Vegas NV",72
"Pittsburgh PA","Fort Lauderdale FL",72
"Pittsburgh PA","Las Vegas NV",72
"Seattle WA","Kansas City MO",72
"Washington DC","Indianapolis IN",72
"Louisville KY","Denver CO",73
"Charlotte Amalie VI","Atlanta GA",74
"Durango CO","Dallas/Fort Worth TX",74
"Honolulu HI","Denver CO",74
"Orlando FL","Newburgh/Poughkeepsie NY",74
"Phoenix AZ","Anchorage AK",74
"San Diego CA","Boston MA",74
"San Francisco CA","Aspen CO",74
"San Francisco CA","Lihue HI",74
"Houston TX","Aspen CO",75
"New York NY","Burbank CA",75
"Newark NJ","Hartford CT",75
"Charlotte NC","Charlotte Amalie VI",76
"San Francisco CA","San Antonio TX",76
"Tampa FL","Buffalo NY",76
"Seattle WA","Orlando FL",78
"Tampa FL","Islip NY",78
"Denver CO","Cincinnati OH",79
"Honolulu HI","Chicago IL",80
"Louisville KY","Cleveland OH",82
"Orlando FL","Aguadilla PR",82
"Washington DC","Syracuse NY",83
"Indianapolis IN","Cleveland OH",84
"Washington DC","Dayton OH",85
"Phoenix AZ","Kahului HI",86
"Seattle WA","Charlotte NC",86
"Denver CO","Akron OH",87
"Miami FL","Christiansted VI",88
"Washington DC","Columbus OH",88
"Ponce PR","Orlando FL",89
"San Jose CA","Honolulu HI",89
"Seattle WA","Kona HI",89
"Seattle WA","Lihue HI",89
"Richmond VA","Cincinnati OH",90
"San Juan PR","Chicago IL",90
"Houston TX","Bakersfield CA",91
"Kotzebue AK","Anchorage AK",91
"Nome AK","Anchorage AK",91
"Nome AK","Kotzebue AK",91
"Philadelphia PA","Memphis TN",92
"Grand Rapids MI","Denver CO",93
"Norfolk VA","Boston MA",93
"Washington DC","New Orleans LA",93
"Minneapolis MN","Fayetteville AR",94
"Durango CO","Denver CO",95
"Kansas City MO","Cincinnati OH",95
"Minneapolis MN","Anchorage AK",95
"Sacramento CA","Atlanta GA",96
"San Francisco CA","Mammoth Lakes CA",96
"Tulsa OK","Detroit MI",96
"Washington DC","Pittsburgh PA",96
"Memphis TN","Fayetteville AR",97
"Oakland CA","Honolulu HI",97
"Houston TX","Hobbs NM",98
"St. Louis MO","Milwaukee WI",98
"Grand Rapids MI","Cleveland OH",99
"Memphis TN","Las Vegas NV",100
"Milwaukee WI","Memphis TN",100
"Minneapolis MN","Lansing MI",100
"Nashville TN","Cincinnati OH",100
"Raleigh/Durham NC","Cincinnati OH",100
"Raleigh/Durham NC","Memphis TN",100
"Richmond VA","Houston TX",100
"San Diego CA","Detroit MI",100
"Springfield IL","Dallas/Fort Worth TX",100
"St. Louis MO","Columbus OH",100
"Memphis TN","Knoxville TN",102
"Nashville TN","Memphis TN",102
"Newark NJ","Austin TX",102
"Omaha NE","Newark NJ",102
"Seattle WA","Boston MA",102
"Washington DC","Cleveland OH",102
"Washington DC","Huntsville AL",102
"Memphis TN","Jackson/Vicksburg MS",103
"Memphis TN","Kansas City MO",103
"Memphis TN","Los Angeles CA",103
"Oklahoma City OK","Memphis TN",103
"San Juan PR","Baltimore MD",103
"St. Louis MO","Memphis TN",103
"Cleveland OH","Albany NY",104
"Oklahoma City OK","Detroit MI",104
"Pellston MI","Detroit MI",104
"Portland OR","New York NY",104
"Salt Lake City UT","Bend/Redmond OR",104
"Salt Lake City UT","Lewiston ID",104
"St. Louis MO","New Orleans LA",104
"New York NY","Long Beach CA",105
"Chicago IL","Charleston/Dunbar WV",106
"Detroit MI","Chattanooga TN",106
"Fort Lauderdale FL","Cleveland OH",106
"Los Angeles CA","Bakersfield CA",106
"Minneapolis MN","Hibbing MN",106
"Oakland CA","Chicago IL",106
"Pittsburgh PA","Cincinnati OH",106
"Pittsburgh PA","Minneapolis MN",106
"Portland OR","Boise ID",106
"Sacramento CA","Arcata/Eureka CA",106
"Scranton/Wilkes-Barre PA","Chicago IL",106
"St. Louis MO","Louisville KY",106
"Houston TX","Del Rio TX",107
"Milwaukee WI","Kansas City MO",107
"Minneapolis MN","Brainerd MN",107
"Norfolk VA","Newark NJ",107
"Ontario CA","Houston TX",107
"Denver CO","Columbus OH",108
"Escanaba MI","Detroit MI",108
"Greer SC","Baltimore MD",108
"Minneapolis MN","Fort Lauderdale FL",108
"Minneapolis MN","Louisville KY",108
"Raleigh/Durham NC","Fort Lauderdale FL",108
"Salt Lake City UT","Cedar City UT",108
"Salt Lake City UT","Orlando FL",108
"Spokane WA","Oakland CA",108
"St. Louis MO","Oklahoma City OK",108
"St. Louis MO","San Antonio TX",108
"Tulsa OK","St. Louis MO",108
"Watertown NY","Chicago IL",108
"Detroit MI","Bloomington/Normal IL",109
"Sarasota/Bradenton FL","Charlotte NC",109
"St. Louis MO","Philadelphia PA",109
"Huntsville AL","Detroit MI",110
"Marquette MI","Detroit MI",110
"Moline IL","Minneapolis MN",110
"Nashville TN","Austin TX",110
"New York NY","Cincinnati OH",110
"Oakland CA","Houston TX",110
"San Antonio TX","Baltimore MD",110
"Louisville KY","Detroit MI",111
"Memphis TN","Denver CO",111
"Newark NJ","Greer SC",111
"San Jose CA","Austin TX",111
"Detroit MI","Binghamton NY",112
"El Paso TX","Atlanta GA",112
"Harlingen/San Benito TX","Dallas TX",112
"Ithaca/Cortland NY","Detroit MI",112
"Kodiak AK","Anchorage AK",112
"Los Angeles CA","Cincinnati OH",112
"Rhinelander WI","Minneapolis MN",112
"Richmond VA","Boston MA",112
"San Antonio TX","Nashville TN",112
"San Francisco CA","Kona HI",112
"Scranton/Wilkes-Barre PA","Detroit MI",112
"St. Louis MO","Boston MA",112
"Tampa FL","Birmingham AL",112
"Louisville KY","Houston TX",113
"Oklahoma City OK","Kansas City MO",113
"Omaha NE","Charlotte NC",113
"Philadelphia PA","Nashville TN",113
"Richmond VA","New York NY",113
"San Diego CA","Albuquerque NM",113
"San Diego CA","Charlotte NC",113
"Tucson AZ","Albuquerque NM",113
"Atlanta GA","Appleton WI",114
"Cedar Rapids/Iowa City IA","Atlanta GA",114
"Charlotte NC","Albany NY",114
"Chicago IL","Asheville NC",114
"Fort Myers FL","Cleveland OH",114
"Kansas City MO","Indianapolis IN",114
"Lubbock TX","Denver CO",114
"New Bern/Morehead/Beaufort NC","Atlanta GA",114
"Oakland CA","Albuquerque NM",114
"Orlando FL","Memphis TN",114
"Pensacola FL","Charlotte NC",114
"Salt Lake City UT","Cincinnati OH",114
"Salt Lake City UT","Medford OR",114
"Sault Ste. Marie MI","Detroit MI",114
"Tucson AZ","Atlanta GA",114
"Washington DC","Knoxville TN",114
"Kansas City MO","Baltimore MD",115
"Nashville TN","Columbus OH",115
"San Diego CA","San Antonio TX",115
"San Francisco CA","Crescent City CA",115
"Washington DC","Rochester NY",115
"Dallas/Fort Worth TX","Chattanooga TN",116
"Dallas/Fort Worth TX","Columbus GA",116
"Denver CO","Bakersfield CA",116
"Grand Island NE","Dallas/Fort Worth TX",116
"Houston TX","Des Moines IA",116
"Milwaukee WI","Boston MA",116
"New Orleans LA","Birmingham AL",116
"New York NY","Memphis TN",116
"Oakland CA","Boise ID",116
"Panama City FL","Nashville TN",116
"Pittsburgh PA","Denver CO",116
"Reno NV","Portland OR",116
"Santa Ana CA","Newark NJ",116
"Sioux City IA","Chicago IL",116
"Springfield MO","Denver CO",116
"St. Louis MO","Fort Myers FL",116
"St. Louis MO","Nashville TN",116
"Waterloo IA","Chicago IL",116
"Spokane WA","Boise ID",117
"Birmingham AL","Baltimore MD",118
"Killeen TX","Atlanta GA",118
"Las Vegas NV","Cleveland OH",118
"Las Vegas NV","Indianapolis IN",118
"Mosinee WI","Detroit MI",118
"Oklahoma City OK","Minneapolis MN",118
